t,goodput,throttled,offered,type,name
51.109669, 0, 143, 7, client, client_2_150.00
51.109669, 0, 0, 10, client, client_3_10.00
52.110766, 200, 117, 317, server, server
52.110766, 150, 0, 150, client, client_0_150.00
52.110766, 50, 0, 150, client, client_1_150.00
52.110766, 0, 144, 7, client, client_2_150.00
52.110766, 0, 0, 10, client, client_3_10.00
53.114283, 178, 59, 237, server, server
53.114283, 125, 22, 129, client, client_0_150.00
53.114283, 40, 65, 85, client, client_1_150.00
53.114283, 13, 132, 18, client, client_2_150.00
53.114283, 0, 5, 5, client, client_3_10.00
54.116335, 223, 6, 229, server, server
54.116335, 76, 74, 76, client, client_0_150.00
54.116335, 68, 81, 70, client, client_1_150.00
54.116335, 74, 73, 77, client, client_2_150.00
54.116335, 5, 4, 6, client, client_3_10.00
55.117432, 200, 33, 233, server, server
55.117432, 73, 72, 78, client, client_0_150.00
55.117432, 64, 76, 74, client, client_1_150.00
55.117432, 60, 74, 77, client, client_2_150.00
55.117432, 3, 6, 4, client, client_3_10.00
56.119177, 200, 255, 455, server, server
56.119177, 150, 0, 150, client, client_0_150.00
56.119177, 50, 0, 150, client, client_1_150.00
56.119177, 0, 0, 150, client, client_2_150.00
56.119177, 0, 6, 5, client, client_3_10.00
57.120949, 139, 69, 208, server, server
57.120949, 65, 86, 65, client, client_0_150.00
57.120949, 40, 83, 67, client, client_1_150.00
57.120949, 26, 83, 67, client, client_2_150.00
57.120949, 8, 1, 9, client, client_3_10.00
58.123001, 261, 11, 272, server, server
58.123001, 83, 62, 88, client, client_0_150.00
58.123001, 87, 63, 88, client, client_1_150.00
58.123001, 81, 64, 86, client, client_2_150.00
58.123001, 10, 0, 10, client, client_3_10.00
59.124098, 199, 7, 206, server, server
59.124098, 63, 84, 66, client, client_0_150.00
59.124098, 64, 85, 65, client, client_1_150.00
59.124098, 62, 86, 65, client, client_2_150.00
59.124098, 10, 0, 10, client, client_3_10.00
60.127615, 204, 19, 223, server, server
60.127615, 72, 75, 76, client, client_0_150.00
60.127615, 60, 89, 61, client, client_1_150.00
60.127615, 63, 74, 76, client, client_2_150.00
60.127615, 9, 0, 10, client, client_3_10.00
