t,goodput,throttled,offered,type,name
39.082367, 88, 62, 88, client, client_1_150.00
39.082367, 37, 112, 38, client, client_2_150.00
39.082367, 11, 0, 11, client, client_3_10.00
40.083509, 198, 4, 202, server, server
40.083509, 62, 86, 65, client, client_0_150.00
40.083509, 83, 67, 83, client, client_1_150.00
40.083509, 43, 106, 44, client, client_2_150.00
40.083509, 10, 0, 10, client, client_3_10.00
41.087922, 202, 4, 206, server, server
41.087922, 64, 85, 65, client, client_0_150.00
41.087922, 91, 60, 91, client, client_1_150.00
41.087922, 38, 110, 40, client, client_2_150.00
41.087922, 9, 0, 10, client, client_3_10.00
42.088441, 199, 5, 204, server, server
42.088441, 63, 85, 65, client, client_0_150.00
42.088441, 86, 64, 86, client, client_1_150.00
42.088441, 40, 108, 43, client, client_2_150.00
42.088441, 10, 0, 10, client, client_3_10.00
43.090175, 201, 4, 205, server, server
43.090175, 63, 85, 66, client, client_0_150.00
43.090175, 89, 60, 90, client, client_1_150.00
43.090175, 39, 111, 39, client, client_2_150.00
43.090175, 10, 0, 10, client, client_3_10.00
44.094588, 203, 4, 207, server, server
44.094588, 64, 84, 66, client, client_0_150.00
44.094588, 87, 63, 88, client, client_1_150.00
44.094588, 42, 107, 43, client, client_2_150.00
44.094588, 10, 0, 10, client, client_3_10.00
45.095107, 197, 5, 202, server, server
45.095107, 61, 85, 65, client, client_0_150.00
45.095107, 91, 59, 91, client, client_1_150.00
45.095107, 35, 115, 36, client, client_2_150.00
45.095107, 10, 0, 10, client, client_3_10.00
46.096841, 173, 5, 178, server, server
46.096841, 55, 94, 57, client, client_0_150.00
46.096841, 75, 74, 76, client, client_1_150.00
46.096841, 34, 115, 35, client, client_2_150.00
46.096841, 9, 0, 10, client, client_3_10.00
47.101255, 173, 5, 178, server, server
47.101255, 53, 94, 56, client, client_0_150.00
47.101255, 74, 77, 74, client, client_1_150.00
47.101255, 36, 112, 38, client, client_2_150.00
47.101255, 10, 0, 10, client, client_3_10.00
48.101773, 217, 4, 221, server, server
48.101773, 70, 80, 70, client, client_0_150.00
48.101773, 82, 67, 83, client, client_1_150.00
48.101773, 55, 93, 58, client, client_2_150.00
48.101773, 10, 0, 10, client, client_3_10.00
49.103508, 242, 12, 254, server, server
49.103508, 78, 67, 84, client, client_0_150.00
49.103508, 91, 59, 91, client, client_1_150.00
49.103508, 64, 81, 69, client, client_2_150.00
49.103508, 9, 0, 10, client, client_3_10.00
50.107921, 178, 5, 183, server, server
50.107921, 56, 90, 60, client, client_0_150.00
50.107921, 70, 81, 70, client, client_1_150.00
50.107921, 42, 107, 43, client, client_2_150.00
50.107921, 10, 0, 10, client, client_3_10.00
51.108440, 213, 3, 216, server, server
51.108440, 68, 80, 70, client, client_0_150.00
51.108440, 86, 64, 86, client, client_1_150.00
51.108440, 49, 101, 50, client, client_2_150.00
51.108440, 10, 0, 10, client, client_3_10.00
52.110174, 204, 5, 209, server, server
52.110174, 64, 83, 68, client, client_0_150.00
52.110174, 88, 62, 88, client, client_1_150.00
52.110174, 42, 107, 43, client, client_2_150.00
52.110174, 10, 0, 10, client, client_3_10.00
53.114587, 205, 4, 209, server, server
53.114587, 65, 84, 66, client, client_0_150.00
53.114587, 91, 59, 92, client, client_1_150.00
53.114587, 39, 109, 41, client, client_2_150.00
53.114587, 10, 0, 10, client, client_3_10.00
54.115106, 175, 5, 180, server, server
54.115106, 56, 93, 57, client, client_0_150.00
54.115106, 73, 74, 76, client, client_1_150.00
54.115106, 36, 114, 37, client, client_2_150.00
54.115106, 10, 0, 10, client, client_3_10.00
55.116840, 217, 4, 221, server, server
55.116840, 69, 79, 72, client, client_0_150.00
55.116840, 91, 58, 92, client, client_1_150.00
55.116840, 47, 103, 47, client, client_2_150.00
55.116840, 10, 0, 10, client, client_3_10.00
56.121254, 196, 4, 200, server, server
56.121254, 63, 87, 63, client, client_0_150.00
56.121254, 86, 65, 86, client, client_1_150.00
56.121254, 37, 109, 41, client, client_2_150.00
56.121254, 10, 0, 10, client, client_3_10.00
57.121772, 217, 4, 221, server, server
57.121772, 69, 80, 70, client, client_0_150.00
